,Date,ObservationSite,TempF,Precipitation,WaterTemp,pH,Conductivity,Turbidity
1,1/29/2013,North,31,0.11,32,8.8,640,NA
2,1/29/2013,West,31,0.11,36,8.5,370,NA
3,2/19/2013,North,38,0,30,8.7,399.51,95.6
4,2/19/2013,West,30,0,32,8.14,480,50
5,2/26/2013,North,39,0,33,7.9,399.51,90
6,2/26/2013,West,34,0,26,7.9,580,NA
7,3/19/2013,North,52,0,42,8.6,520,70
8,3/26/2013,North,45,0,42,8.7,520,56
9,3/26/2013,West,44,0,39,9.1,510,70.67
10,3/29/2013,West,42,0,40,8.9,540,72.2
11,5/7/2013,North,72,0,60,8.4,399.51,14.33
12,5/14/2013,North,92,0,71,8.5,620,35.5
13,5/14/2013,West,96,0,74,8.8,10,33.33
14,8/2/2013,NEGP,34,1.68,74.84,7.6,1360,8
15,8/2/2013,North,34,1.68,73.76,8.1,470,15
16,8/2/2013,North,34,1.68,69.26,8.1,500,NA
17,8/2/2013,West,34,1.68,69.08,7.1,440,NA
18,8/2/2013,WGP,34,1.68,78.44,7.7,550,8
19,8/10/2013,NEGP,46,0.3,85.64,8.3,160,10
20,8/10/2013,North,46,0.3,74.84,8,360,7
21,8/10/2013,West,46,0.3,76.64,7.9,370,8
22,8/10/2013,WGP,46,0.3,86.18,8.3,150,10
23,8/16/2013,NEGP,36,0.6,72.5,7.9,160,9
24,8/16/2013,North,36,0.6,67.1,8.2,410,9
25,8/16/2013,West,36,0.6,67.64,8.1,420,10
26,8/16/2013,WGP,36,0.6,71.96,7.9,160,10
27,8/23/2013,NEGP,30,0,79.52,7.8,170,11
28,8/23/2013,West,30,0,73.04,8,470,15
29,2/16/2016,North,40,0,38.9,8,530,NA
30,2/16/2016,West,44,0,37.5,8.6,560,NA
31,2/18/2016,North,55,0,41.25,8,515,NA
32,2/18/2016,West,68,0,40.5,8,530,NA
33,3/1/2016,North,40,0,57.93,9.4,610,NA
34,3/1/2016,West,40,0,41,8.2,620,NA
35,3/3/2016,North,51,0,46,8.2,600,NA
36,3/3/2016,West,49.8,0,45.2,8.4,610,NA
37,3/11/2016,North,60,0,60,7.7,300,NA
38,3/29/2016,North,61,0,51.3,8.8,650,NA
39,3/29/2016,North,61,0,57.93,8,423.11,NA
40,3/29/2016,West,62,0,52.3,8.5,640,NA
41,3/29/2016,West,62,0,57.93,8,423.11,NA
42,3/30/2016,NEGP,78,0.1,54.5,7.9,100,4.8
43,3/30/2016,WGP,78,0.1,56.5,8.1,100,4.9
44,8/23/2013,WGP,30,0,79.52,7.7,170,9
45,9/3/2013,North,86,0,72,7.8,490,17.2
46,9/3/2013,West,86,0,72,8.3,480,9
47,9/5/2013,West,82,0,72,8.4,510,13
48,9/19/2013,NEGP,80,0,75.74,7.1,140,5
49,9/19/2013,North,80,0,71.6,7.5,500,14.55
50,9/19/2013,WGP,80,0,75.92,7.1,140,5.7
51,9/24/2013,North,78,0,69.62,7.7,300,8.1
52,9/27/2013,NEGP,98,0,74.3,7.9,130,4.5
53,9/27/2013,West,98,0,71.6,8.3,310,5.3
54,9/27/2013,WGP,98,0,73.76,7.9,120,5.5
55,10/17/2013,NEGP,74,0,54.68,8.1,140,8.1
56,10/17/2013,North,74,0,48.92,8.1,420,10.9
57,10/17/2013,West,74,0,49.1,8.7,380,10.1
58,10/17/2013,WGP,74,0,53.24,8.3,130,6.2
59,10/25/2013,NEGP,53,0,51.98,8.1,140,6
60,10/25/2013,North,53,0,44.06,7.9,520,26.1
61,10/25/2013,West,53,0,45.5,8.1,530,25
62,10/25/2013,WGP,53,0,51.98,8.3,130,6
63,11/2/2013,NEGP,66,0,52.52,8.5,130,6.9
64,11/2/2013,North,66,0,48.86,8.1,550,44.1
65,11/2/2013,West,66,0,46.58,8.3,530,49.2
66,11/2/2013,WGP,66,0,49.46,8.5,530,5.5
67,11/7/2013,NEGP,60,1,46.4,8.3,130,8.4
68,11/7/2013,North,60,1,43.88,8.1,270,6.9
69,11/7/2013,WGP,60,1,45.32,8.4,130,6.2
70,11/12/2013,West,33,0,40,8.14,1410,11.6
71,11/13/2013,North,47,0,40,8.14,390,9.5
72,11/13/2013,West,39,0,42,8.8,380,11.87
73,11/16/2013,NEGP,66,0,47.84,8.3,130,13.1
74,11/16/2013,North,66,0,45.86,8,399.51,16.9
75,11/16/2013,West,66,0,45.14,8.5,430,17.7
