Year ,Site,pH,Dissolved Oxygen,Nitrates ,Total phosphates,Sulfate,Alkalinity
2013,North,8.80,8.35,1.32,0.20,75.00,340.00
2013,North,8.70,8.35,0.22,0.52,55.00,280.00
2013,North,7.90,10.00,2.64,0.36,57.50,300.00
2013,North,8.60,13.00,0.09,0.52,57.50,280.00
2013,North,8.70,10.00,4.40,0.22,50.00,280.00
2013,North,8.40,10.00,8.80,0.54,50.00,280.00
2013,North,8.50,11.00,4.84,0.60,51.50,280.00
2013,North,8.10,4.52,3.10,0.52,59.00,270.00
2013,North,8.10,5.50,3.10,0.52,65.00,220.00
2013,North,8.00,6.52,3.10,0.52,52.50,280.00
2013,North,8.20,6.70,3.10,0.52,75.00,230.00
2013,North,7.80,9.00,2.20,0.60,85.00,300.00
2013,North,7.50,5.23,3.10,0.52,72.50,270.00
2013,North,7.70,5.62,3.10,0.52,67.61,273.51
2013,North,8.10,9.34,3.10,0.52,67.61,273.51
2013,North,7.90,9.93,3.10,0.52,67.61,273.51
2013,North,8.10,8.85,3.10,0.52,67.61,273.51
2013,North,8.10,10.41,3.10,0.52,67.61,273.51
2013,North,8.14,12.00,2.07,0.76,67.61,273.51
2013,North,8.00,9.26,3.10,0.52,67.61,273.51
2013,North,6.90,12.00,4.84,0.84,67.61,273.51
2013,North,8.14,7.00,3.10,0.52,141.00,220.00
2014,North,8.08,12.00,1.76,0.50,63.28,285.25
2014,North,8.08,4.00,3.30,0.30,63.28,285.25
2014,North,8.40,14.00,0.18,0.00,63.28,285.25
2014,North,8.40,9.00,1.28,0.45,65.00,170.00
2014,North,8.40,15.00,0.97,0.04,62.50,170.00
2014,North,7.50,8.00,0.44,0.65,60.00,140.00
2014,North,8.40,12.00,0.44,0.44,63.28,285.25
2014,North,8.30,14.00,0.53,0.66,63.28,285.25
2014,North,8.30,6.00,0.44,0.46,63.28,285.25
2014,North,7.80,7.09,1.28,0.45,75.00,190.00
2014,North,7.50,7.75,1.28,0.45,70.00,260.00
2014,North,7.60,8.40,1.28,0.45,63.28,285.25
2014,North,7.80,8.70,1.28,0.45,63.28,285.25
2014,North,7.90,6.12,1.28,0.45,70.00,370.00
2014,North,7.90,9.00,0.55,0.10,80.00,415.00
2014,North,7.40,4.40,1.28,0.45,65.00,360.00
2014,North,7.80,6.20,1.28,0.45,70.00,400.00
2014,North,8.00,10.37,1.28,0.45,60.00,230.00
2014,North,8.30,10.14,1.28,0.45,63.28,285.25
2014,North,8.20,8.00,3.32,0.70,63.28,285.25
2014,North,8.20,9.76,1.28,0.45,56.75,290.00
2014,North,8.00,10.36,1.28,0.45,50.00,240.00
2014,North,7.80,16.15,1.28,0.45,67.50,300.00
2014,North,8.10,16.15,1.28,0.45,55.00,330.00
2014,North,8.10,16.15,1.28,0.45,58.50,290.00
2014,North,8.20,16.15,1.28,0.45,55.00,300.00
2014,North,8.20,16.15,1.28,0.45,50.00,290.00
2014,North,8.05,7.00,0.99,0.96,52.00,330.00
2014,North,8.25,9.00,0.66,0.85,80.00,220.00
2014,North,8.20,8.00,3.52,0.04,63.28,410.00
2014,North,8.40,14.00,1.28,0.52,63.28,285.25
2014,North,8.60,15.00,0.88,0.50,63.28,285.25
2015,North,8.80,12.00,0.88,0.40,95.00,250.00
2015,North,8.60,8.00,2.90,0.48,95.00,250.00
2015,North,7.55,16.00,3.72,0.66,95.00,250.00
2015,North,8.30,9.69,2.90,0.20,95.00,250.00
2015,North,8.20,14.00,0.71,0.34,95.00,250.00
2015,North,8.40,10.00,0.57,0.80,95.00,250.00
2015,North,8.50,14.00,0.13,0.50,65.00,280.00
2015,North,8.60,14.00,8.80,0.54,95.00,250.00
2015,North,7.80,7.50,3.96,0.61,95.00,250.00
2015,North,8.30,7.00,3.96,0.92,95.00,250.00
2015,North,7.90,12.00,2.90,0.61,95.00,250.00
