Month ,Year,ObservationSite,TempF,Precipitation,WaterTemp,pH,Conductivity,Turbidity
1,2013,North,31,0.11,32,8.8,640,NA
1,2013,West,31,0.11,36,8.5,370,NA
2,2013,North,38,0,30,8.7,399.51,95.6
2,2013,West,30,0,32,8.14,480,50
2,2013,North,39,0,33,7.9,399.51,90
2,2013,West,34,0,26,7.9,580,NA
3,2013,North,52,0,42,8.6,520,70
3,2013,North,45,0,42,8.7,520,56
3,2013,West,44,0,39,9.1,510,70.67
3,2013,West,42,0,40,8.9,540,72.2
5,2013,North,72,0,60,8.4,399.51,14.33
5,2013,North,92,0,71,8.5,620,35.5
5,2013,West,96,0,74,8.8,10,33.33
8,2013,North,34,1.68,73.76,8.1,470,15
8,2013,North,34,1.68,69.26,8.1,500,NA
8,2013,West,34,1.68,69.08,7.1,440,NA
8,2013,North,46,0.3,74.84,8,360,7
8,2013,West,46,0.3,76.64,7.9,370,8
8,2013,North,36,0.6,67.1,8.2,410,9
8,2013,West,36,0.6,67.64,8.1,420,10
8,2013,West,30,0,73.04,8,470,15
2,2016,North,40,0,38.9,8,530,NA
2,2016,West,44,0,37.5,8.6,560,NA
2,2016,North,55,0,41.25,8,515,NA
2,2016,West,68,0,40.5,8,530,NA
3,2016,North,40,0,57.93,9.4,610,NA
3,2016,West,40,0,41,8.2,620,NA
3,2016,North,51,0,46,8.2,600,NA
3,2016,West,49.8,0,45.2,8.4,610,NA
3,2016,North,60,0,60,7.7,300,NA
3,2016,North,61,0,51.3,8.8,650,NA
3,2016,North,61,0,57.93,8,423.11,NA
3,2016,West,62,0,52.3,8.5,640,NA
3,2016,West,62,0,57.93,8,423.11,NA
9,2013,North,86,0,72,7.8,490,17.2
9,2013,West,86,0,72,8.3,480,9
9,2013,West,82,0,72,8.4,510,13
9,2013,North,80,0,71.6,7.5,500,14.55
9,2013,North,78,0,69.62,7.7,300,8.1
9,2013,West,98,0,71.6,8.3,310,5.3
10,2013,North,74,0,48.92,8.1,420,10.9
10,2013,West,74,0,49.1,8.7,380,10.1
10,2013,North,53,0,44.06,7.9,520,26.1
10,2013,West,53,0,45.5,8.1,530,25
11,2013,North,66,0,48.86,8.1,550,44.1
11,2013,West,66,0,46.58,8.3,530,49.2
11,2013,North,60,1,43.88,8.1,270,6.9
11,2013,West,33,0,40,8.14,1410,11.6
11,2013,North,47,0,40,8.14,390,9.5
11,2013,West,39,0,42,8.8,380,11.87
11,2013,North,66,0,45.86,8,399.51,16.9
11,2013,West,66,0,45.14,8.5,430,17.7
11,2013,West,58,0,43.88,8.3,250,5.2
11,2013,North,24,0,36,6.9,399.51,9.95
12,2013,West,50,0,34,8.14,650,55
12,2013,North,35,0,30,8.14,840,80
12,2013,West,40,0,0,7.9,870,58.67
1,2014,West,40,0,32,9.3,740,85
1,2014,North,32,0,57.93,8.08,730,114
1,2014,North,41,0,30,8.08,730,111
1,2014,West,40,0,32,8.7,720,70
2,2014,North,72,0,34,8.4,540,51.5
2,2014,West,0,0,-2.22,6.9,10,55.15
2,2014,North,29,0,30,8.4,600,NA
4,2014,North,52,0,43,8.4,580,46
4,2014,West,48,0,44,8.6,393,34
4,2014,North,41,0,41,7.5,650,51
4,2014,West,41,0,57.93,8.1,650,45
4,2014,North,42,0,41,8.4,640,62.5
4,2014,West,42,0,41,8.2,10,46
5,2014,North,82,0,68,8.3,600,26
5,2014,West,65,0,66,8.4,393,73.2
5,2014,West,80,0,62,8.6,500,12.5
5,2014,North,81,0.4,71,8.3,620,64.5
6,2014,North,76,0,79.52,7.8,490,11
6,2014,West,76,0,83.48,7.6,490,11
7,2014,North,73,0,67.46,7.5,400,11
7,2014,West,73,0,67.64,8.2,390,12
7,2014,North,85,0,75.02,7.6,460,16.2
7,2014,West,85,0,76.82,8,460,16.2
7,2014,North,99,0,81.32,7.8,393,18.8
7,2014,West,99,0,81.14,8.4,570,16.8
8,2014,North,85,0.69,73.22,7.9,540,13
8,2014,West,85,0.69,72.68,7.6,540,10
3,2016,North,59,0.1,54.6,8.6,653,NA
3,2016,West,55,0.1,54.8,8.3,66,NA
4,2016,North,66,0,55.4,8.1,666,NA
4,2016,North,66,0,62.5,8.4,640,75
4,2016,West,60,0,49,8.4,670,NA
4,2016,West,66,0,65.2,8.4,650,75
4,2016,North,68,0.29,56.7,8.1,620,14
4,2016,West,68,0.29,58.1,8,590,11.1
4,2016,North,77,0.03,69,8.5,680,41.3
4,2016,West,77,0.03,69,8.2,600,42
5,2016,North,66,0,60,8.1,5.2,NA
5,2016,North,66,0,61.7,8.3,510,14
5,2016,West,66,0,61.2,NA,510,NA
5,2016,West,66,0,60.98,8.1,390,11
5,2016,North,80,0,65,8.1,590,NA
5,2016,West,80,0,64.3,8.1,600,NA
5,2016,North,82,0.62,60.62,7.6,230,1
5,2016,West,82,0.62,60.44,8,210,1.6
5,2016,North,71,0.34,63.32,7.8,330,NA
5,2016,North,70,0.39,57.93,8,423.11,NA
6,2016,North,95,0,74.7,7.9,423.11,12
6,2016,West,95,0,72,8.1,423.11,11
6,2016,North,100,0,84.7,8.2,630,20
6,2016,West,100,0,83.3,8.4,630,18
7,2016,North,92,0,84.9,8.3,600,16
7,2016,West,92,0,84.8,8.5,650,13
7,2016,North,100,0,57.93,8,423.11,NA
7,2016,North,100,0,81.1,8.2,680,12
7,2016,West,100,0,79.7,7.9,670,15
8,2016,North,81,0.17,74.9,8.4,530,10
8,2016,West,81,0.17,76.1,8.2,490,9.5
8,2016,North,87,0.02,67.64,8.1,310,7.6
8,2016,West,87,0.02,67.46,8.2,310,5.4
9,2016,North,80,0,69.08,8.2,440,11
9,2016,North,82,0,73.76,8,470,5
9,2016,West,82,0,74.12,7.8,480,11
9,2016,North,88,0.29,59.54,7.8,535,9.75
9,2016,North,61,0,60,7.09,450,NA
9,2016,West,62,0,61.3,6.9,440,NA
9,2016,West,86,0.05,57.93,8,423.11,NA
8,2014,North,80,0,74,7.9,550,7.67
8,2014,West,80,0,74,5.5,580,7.15
8,2014,North,89,0.46,79.88,7.4,550,20.1
8,2014,West,89,0.46,79.52,7.9,590,17.8
9,2014,North,66,0,69.08,7.8,540,24.2
9,2014,West,66,0,68.72,7.8,580,32.4
